what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889354233
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889365523
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889366787
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889403866
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889405396
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889419329
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889420501
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889421423
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889541749
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889548540
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889551498
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1474889588954
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1474889589157
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474889589189
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474889591314
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1474889591314
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889592876
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474890102034
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474890102521
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474890103724
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1474890103740
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1474890103740
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474890103756
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474890105537
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474890105646
