what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1474885947495
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885956151
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885992355
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886004167
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886021061
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886040114
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886063057
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886063776
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886064281
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474886102274
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886142991
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886144699
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886163864
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886178230
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886213513
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886248370
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1474886258345
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1474886259798
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474886270926
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474886271144
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474886272176
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474886273051
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886278926
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886284582
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886318952
