what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1475491534582
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1475491571048
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491571861
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491575439
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1475491623529
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491627623
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491629877
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1475491636174
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491638018
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491638502
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1475491640862
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491641643
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491642877
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1475491652314
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491656673
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491658535
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491665696
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491669084
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475491707201
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475491708138
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1475491714651
started,bundle,org.eclipse.ecf.ui,2.0.0.v20081224-1728,org.eclipse.ecf.ui,1475491714667
started,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20081224-1728,org.eclipse.ecf.filetransfer.ui,1475491714667
started,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20081224-1728,org.eclipse.ecf.provider.bittorrent.ui,1475491714682
started,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.irc.ui,1475491714682
