what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491296693
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491304804
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491355501
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491361403
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1475491372750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491384042
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491388067
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1475491391426
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491393846
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491401238
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475491401285
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475491401332
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1475491402973
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475491404082
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491405801
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491408338
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1475491408338
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1475491411166
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475491412166
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491427863
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491433293
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491441723
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475491442884
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1475491509823
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1475491516796
