what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885583010
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885624294
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885626763
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885627076
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474885631423
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885636250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885638562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885641484
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885644976
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885648492
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885648664
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885672040
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885728037
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885730288
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885730522
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885732993
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885733618
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885733836
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885736461
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885737899
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885738102
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474885742196
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474885796997
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1474885847860
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1474885848048
