what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489949816
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475489952179
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1475489953632
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489955991
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1475489962401
started,bundle,org.eclipse.dltk.core,0.95.1.v20080920-R0951,org.eclipse.dltk.core,1475489962494
started,bundle,org.eclipse.dltk.launching,0.95.1.v20080915-1703,org.eclipse.dltk.launching,1475489962494
started,bundle,org.eclipse.dltk.ui,0.95.1.v20080920-R0951,org.eclipse.dltk.ui,1475489962510
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489962619
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.rename.element,1475489962619
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475489963463
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489973790
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489977671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489984309
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489988182
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475489997325
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475490001997
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475490006586
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475490014493
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1475490151936
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475490154374
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475490163514
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.rename.element,1475490163514
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1475490164624
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1475490177484
