what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474889050219
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889050266
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889051054
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889062539
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889063835
executed,command,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui.command.openTask,1474889063851
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474889065148
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889065179
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889065757
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474889083243
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889083274
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889084431
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474889094134
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889094165
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889095118
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474889106428
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474889109006
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889109021
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889109443
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474889119121
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474889136955
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474889137642
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1474889201242
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1474889203149
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1474889203524
