what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886804101
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886808772
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886810571
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886811962
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886837055
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886839993
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886858054
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886859460
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886886414
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886888679
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886890289
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886892893
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886894092
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886943832
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886944894
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886949517
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886952923
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886954996
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474886956246
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886957246
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474886978184
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887130806
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887135195
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887154033
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887160300
