what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1474887629039
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887666351
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887720139
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474887787416
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474887800854
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887800885
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887801213
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887801244
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887802557
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474887804651
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474887809228
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474887810525
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887810556
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887810900
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474887817698
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474887824432
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474887830427
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474887872978
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888009602
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474888111680
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1474888115914
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474888128397
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888128429
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888128866
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474888149757
