what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493405647
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493406037
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493406068
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493406709
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1475493410803
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493410819
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493411115
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1475493439868
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493439883
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493440368
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1475493463489
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1475493463911
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1475493464192
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1475493467740
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493467787
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493468209
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493772900
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493780925
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493827239
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475493829849
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1475494019234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475494081828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475494082900
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475494088138
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1475494090122
