what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387576346
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387577039
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1476387585464
started,bundle,org.eclipse.ecf.ui,2.0.0.v20081224-1728,org.eclipse.ecf.ui,1476387585469
started,bundle,org.eclipse.ecf.example.collab,1.3.0.v20081224-1728,org.eclipse.ecf.example.collab,1476387585472
started,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20081224-1728,org.eclipse.ecf.filetransfer.ui,1476387585474
started,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20081224-1728,org.eclipse.ecf.provider.bittorrent.ui,1476387585475
started,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.irc.ui,1476387585477
started,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.msn.ui,1476387585478
started,bundle,org.eclipse.ecf.provider.xmpp.ui,2.1.0.v20081224-1728,org.eclipse.ecf.provider.xmpp.ui,1476387585483
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1476387585706
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1476387590288
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387591420
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387591660
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1476387595190
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1476387690479
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1476387691677
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1476387699305
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1476387702705
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387702733
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387703320
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387703516
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1476387761004
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1476387762100
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1476387763904
