what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474884988563
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474884989141
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474884989157
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474884992548
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885002424
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885049078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885054750
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885055641
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885055750
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1474885056141
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1474885064800
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1474885072472
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1474885103197
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885104947
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1474885134823
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885137273
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885140118
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885140180
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1474885140180
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885144711
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885151265
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885151374
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474885151484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885166696
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474885196300
