what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888923391
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474888923391
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474888927720
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474888930111
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888930127
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888931658
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474888945648
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1474888960669
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1474888963856
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888968013
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888969606
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474888969606
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474888970356
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474888971466
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888971497
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474888971856
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474888993944
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889014016
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889042167
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1474889043807
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474889044214
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889045464
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1474889046876
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1474889046876
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1474889048344
